Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Davis Schneider,LF,Tor,0.58,20.0,80.0,ACTIVE,1.0,5.0,8.0,0.0,0.21428571,0.0,0.0,0.0,0.0,0.0
Ben Williamson,3B,TB,0.54,26.0,46.0,ACTIVE,0.0,6.0,11.0,2.0,0.25490196,0.0,0.0,0.0,0.0,0.0
Jett Williams,SS,Mil,0.48,0.0,58.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Moore,2B,LAA,0.41,0.0,177.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmundo Sosa,2B,Phi,0.4,15.0,132.0,ACTIVE,1.0,5.0,4.0,0.0,0.28571429,0.0,0.0,0.0,0.0,0.0
Gabriel Arias,SS,Cle,0.39,9.0,154.0,TEN_DAY_DL,2.0,4.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Luis Pena,SS,Mil,0.39,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Brito,2B,Cle,0.36,1.0,29.0,ACTIVE,0.0,1.0,4.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Thomas Saggese,2B,StL,0.26,8.0,129.0,ACTIVE,0.0,2.0,5.0,0.0,0.20930233,0.0,0.0,0.0,0.0,0.0
Brice Matthews,2B,Hou,0.26,-1.0,44.0,ACTIVE,1.0,3.0,1.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0
Zack Gelof,2B,Oak,0.22,-1.0,150.0,ACTIVE,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie Palacios,LF,TB,0.21,20.0,154.0,ACTIVE,1.0,4.0,5.0,3.0,0.29166667,0.0,0.0,0.0,0.0,0.0
Luis Carpio,2B,Det,0.2,0.0,325.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramon Urias,3B,StL,0.19,16.0,86.0,ACTIVE,2.0,4.0,6.0,0.0,0.21212121,0.0,0.0,0.0,0.0,0.0
Vaughn Grissom,2B,LAA,0.18,11.0,142.0,ACTIVE,0.0,1.0,3.0,0.0,0.28571429,0.0,0.0,0.0,0.0,0.0
Dylan Moore,2B,Phi,0.17,-1.0,92.0,ACTIVE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
